[2026-07-13 08:07:37] INFO  ============================================================
[2026-07-13 08:07:37] INFO  TRAINING MODE: Real network (GNS3 + ODL)
[2026-07-13 08:07:37] INFO  episodes=30  steps_per_ep=50  num_links=4
[2026-07-13 08:07:37] INFO  hyperparams: lr=0.0003  gamma=0.95  n_steps=128
[2026-07-13 08:07:37] INFO  ============================================================
[2026-07-13 08:07:39] INFO  Episode   1/30 | failing link=1 port=2
[2026-07-13 08:07:55] DEBUG   step  1 | action=0 reward=+0.000 done=False trnc=False
[2026-07-13 08:07:58] DEBUG   step  2 | action=1 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:01] DEBUG   step  3 | action=0 reward=+0.000 done=False trnc=False
[2026-07-13 08:08:04] DEBUG   step  4 | action=2 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:07] DEBUG   step  5 | action=2 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:10] DEBUG   step  6 | action=0 reward=+0.000 done=False trnc=False
[2026-07-13 08:08:13] DEBUG   step  7 | action=0 reward=+0.000 done=False trnc=False
[2026-07-13 08:08:16] DEBUG   step  8 | action=1 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:19] DEBUG   step  9 | action=3 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:22] DEBUG   step 10 | action=2 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:25] DEBUG   step 11 | action=1 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:28] DEBUG   step 12 | action=2 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:31] DEBUG   step 13 | action=1 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:34] DEBUG   step 14 | action=0 reward=+0.000 done=False trnc=False
[2026-07-13 08:08:37] DEBUG   step 15 | action=3 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:40] DEBUG   step 16 | action=2 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:43] DEBUG   step 17 | action=3 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:46] DEBUG   step 18 | action=0 reward=+0.000 done=False trnc=False
[2026-07-13 08:08:49] DEBUG   step 19 | action=1 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:52] DEBUG   step 20 | action=2 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:55] DEBUG   step 21 | action=1 reward=-0.100 done=False trnc=False
[2026-07-13 08:08:58] DEBUG   step 22 | action=3 reward=-0.100 done=False trnc=False
[2026-07-13 08:09:01] DEBUG   step 23 | action=2 reward=-0.100 done=False trnc=False
[2026-07-13 08:09:04] DEBUG   step 24 | action=0 reward=+0.000 done=False trnc=False
[2026-07-13 08:09:07] DEBUG   step 25 | action=2 reward=-0.100 done=False trnc=False
[2026-07-13 08:09:10] DEBUG   step 26 | action=3 reward=-0.100 done=False trnc=False
[2026-07-13 08:09:13] DEBUG   step 27 | action=0 reward=+0.000 done=False trnc=False
[2026-07-13 08:09:16] DEBUG   step 28 | action=1 reward=-0.100 done=False trnc=False
