[2026-07-09 10:57:33] INFO  ============================================================
[2026-07-09 10:57:33] INFO  TRAINING MODE: Real network (GNS3 + ODL)
[2026-07-09 10:57:33] INFO  episodes=100  steps_per_ep=50  num_links=4
[2026-07-09 10:57:33] INFO  hyperparams: lr=0.0003  gamma=0.95  n_steps=128
[2026-07-09 10:57:33] INFO  ============================================================
[2026-07-09 10:57:35] INFO  Episode   1/100 | failing link=2 port=3
[2026-07-09 10:57:52] DEBUG   step  1 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:57:55] DEBUG   step  2 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:57:58] DEBUG   step  3 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:58:01] DEBUG   step  4 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:58:04] DEBUG   step  5 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:07] DEBUG   step  6 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:10] DEBUG   step  7 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:13] DEBUG   step  8 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:58:16] DEBUG   step  9 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:58:19] DEBUG   step 10 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:22] DEBUG   step 11 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:58:25] DEBUG   step 12 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:28] DEBUG   step 13 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:31] DEBUG   step 14 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:34] DEBUG   step 15 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:37] DEBUG   step 16 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:40] DEBUG   step 17 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:58:43] DEBUG   step 18 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:58:46] DEBUG   step 19 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:49] DEBUG   step 20 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:52] DEBUG   step 21 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:58:55] DEBUG   step 22 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:58:58] DEBUG   step 23 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:01] DEBUG   step 24 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:04] DEBUG   step 25 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:59:07] DEBUG   step 26 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:10] DEBUG   step 27 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:13] DEBUG   step 28 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:59:16] DEBUG   step 29 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:59:19] DEBUG   step 30 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:59:22] DEBUG   step 31 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:25] DEBUG   step 32 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:59:28] DEBUG   step 33 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:31] DEBUG   step 34 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:59:34] DEBUG   step 35 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:37] DEBUG   step 36 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:59:40] DEBUG   step 37 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:43] DEBUG   step 38 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:47] DEBUG   step 39 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:59:50] DEBUG   step 40 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:53] DEBUG   step 41 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 10:59:56] DEBUG   step 42 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 10:59:59] DEBUG   step 43 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:00:02] DEBUG   step 44 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:00:05] DEBUG   step 45 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:00:08] DEBUG   step 46 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:00:11] DEBUG   step 47 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:00:14] DEBUG   step 48 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:00:17] DEBUG   step 49 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:00:20] DEBUG   step 50 | action=4 reward=-0.100 done=False trnc=True
[2026-07-09 11:00:20] INFO    -> reward=-3.00  avg_last_20=-3.000  steps=50  done=True
[2026-07-09 11:00:29] INFO  Episode   2/100 | failing link=2 port=3
[2026-07-09 11:00:45] DEBUG   step  1 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:00:48] DEBUG   step  2 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:00:51] DEBUG   step  3 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:00:54] DEBUG   step  4 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:00:57] DEBUG   step  5 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:00] DEBUG   step  6 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:03] DEBUG   step  7 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:01:06] DEBUG   step  8 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:01:09] DEBUG   step  9 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:12] DEBUG   step 10 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:15] DEBUG   step 11 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:18] DEBUG   step 12 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:21] DEBUG   step 13 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:25] DEBUG   step 14 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:28] DEBUG   step 15 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:31] DEBUG   step 16 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:34] DEBUG   step 17 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:01:37] DEBUG   step 18 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:40] DEBUG   step 19 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:43] DEBUG   step 20 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:46] DEBUG   step 21 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:01:49] DEBUG   step 22 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:01:52] DEBUG   step 23 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:01:55] DEBUG   step 24 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:01:58] DEBUG   step 25 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:01] DEBUG   step 26 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:04] DEBUG   step 27 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:07] DEBUG   step 28 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:10] DEBUG   step 29 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:13] DEBUG   step 30 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:16] DEBUG   step 31 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:19] DEBUG   step 32 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:22] DEBUG   step 33 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:25] DEBUG   step 34 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:28] DEBUG   step 35 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:31] DEBUG   step 36 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:34] DEBUG   step 37 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:37] DEBUG   step 38 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:40] DEBUG   step 39 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:43] DEBUG   step 40 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:46] DEBUG   step 41 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:49] DEBUG   step 42 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:52] DEBUG   step 43 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:02:55] DEBUG   step 44 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:02:58] DEBUG   step 45 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:03:01] DEBUG   step 46 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:03:04] DEBUG   step 47 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:03:07] DEBUG   step 48 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:03:10] DEBUG   step 49 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:03:13] DEBUG   step 50 | action=0 reward=+0.000 done=False trnc=True
[2026-07-09 11:03:13] INFO    -> reward=-2.80  avg_last_20=-2.900  steps=50  done=True
[2026-07-09 11:03:23] INFO  Episode   3/100 | failing link=2 port=3
[2026-07-09 11:03:39] DEBUG   step  1 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:03:42] DEBUG   step  2 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:03:45] DEBUG   step  3 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:03:48] DEBUG   step  4 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:03:51] DEBUG   step  5 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:03:54] DEBUG   step  6 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:03:57] DEBUG   step  7 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:00] DEBUG   step  8 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:03] DEBUG   step  9 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:06] DEBUG   step 10 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:09] DEBUG   step 11 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:12] DEBUG   step 12 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:15] DEBUG   step 13 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:04:18] DEBUG   step 14 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:04:21] DEBUG   step 15 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:24] DEBUG   step 16 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:04:27] DEBUG   step 17 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:30] DEBUG   step 18 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:04:33] DEBUG   step 19 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:36] DEBUG   step 20 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:04:39] DEBUG   step 21 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:42] DEBUG   step 22 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:04:45] DEBUG   step 23 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:48] DEBUG   step 24 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:51] DEBUG   step 25 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:54] DEBUG   step 26 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:04:57] DEBUG   step 27 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:05:00] DEBUG   step 28 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:03] DEBUG   step 29 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:05:06] DEBUG   step 30 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:05:09] DEBUG   step 31 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:12] DEBUG   step 32 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:05:15] DEBUG   step 33 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:19] DEBUG   step 34 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:22] DEBUG   step 35 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:25] DEBUG   step 36 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:05:28] DEBUG   step 37 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:31] DEBUG   step 38 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:34] DEBUG   step 39 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:05:37] DEBUG   step 40 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:40] DEBUG   step 41 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:43] DEBUG   step 42 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:46] DEBUG   step 43 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:05:49] DEBUG   step 44 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:05:52] DEBUG   step 45 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:05:55] DEBUG   step 46 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:05:58] DEBUG   step 47 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:06:01] DEBUG   step 48 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:06:04] DEBUG   step 49 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:06:07] DEBUG   step 50 | action=4 reward=-0.100 done=False trnc=True
[2026-07-09 11:06:07] INFO    -> reward=-3.00  avg_last_20=-2.933  steps=50  done=True
[2026-07-09 11:06:17] INFO  Episode   4/100 | failing link=2 port=3
[2026-07-09 11:06:32] DEBUG   step  1 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:06:35] DEBUG   step  2 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:06:38] DEBUG   step  3 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:06:41] DEBUG   step  4 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:06:44] DEBUG   step  5 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:06:47] DEBUG   step  6 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:06:50] DEBUG   step  7 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:06:53] DEBUG   step  8 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:06:56] DEBUG   step  9 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:06:59] DEBUG   step 10 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:02] DEBUG   step 11 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:07:05] DEBUG   step 12 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:07:09] DEBUG   step 13 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:12] DEBUG   step 14 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:15] DEBUG   step 15 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:07:18] DEBUG   step 16 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:21] DEBUG   step 17 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:07:24] DEBUG   step 18 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:07:27] DEBUG   step 19 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:07:30] DEBUG   step 20 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:33] DEBUG   step 21 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:07:36] DEBUG   step 22 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:39] DEBUG   step 23 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:07:42] DEBUG   step 24 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:45] DEBUG   step 25 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:48] DEBUG   step 26 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:51] DEBUG   step 27 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:07:54] DEBUG   step 28 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:07:57] DEBUG   step 29 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:00] DEBUG   step 30 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:03] DEBUG   step 31 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:06] DEBUG   step 32 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:09] DEBUG   step 33 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:12] DEBUG   step 34 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:15] DEBUG   step 35 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:18] DEBUG   step 36 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:21] DEBUG   step 37 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:24] DEBUG   step 38 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:27] DEBUG   step 39 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:30] DEBUG   step 40 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:33] DEBUG   step 41 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:36] DEBUG   step 42 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:39] DEBUG   step 43 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:42] DEBUG   step 44 | action=0 reward=+0.000 done=False trnc=False
[2026-07-09 11:08:45] DEBUG   step 45 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:48] DEBUG   step 46 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:51] DEBUG   step 47 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:54] DEBUG   step 48 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:08:57] DEBUG   step 49 | action=4 reward=-0.100 done=False trnc=False
[2026-07-09 11:09:00] DEBUG   step 50 | action=0 reward=+0.000 done=False trnc=True
